General info (from bash),,,,,Latency,,,,,,,,,,,,,,Requests,,,,,,,Summary,,,,,,,,,,,,,,,,,,,,
,,,,,Min,,Max,,Average,,Stdev,,Percentile(5),,Percentile(50),,Percentile(95),,,,,,,,,Test duration,,Successful responses,,Errors received,,Errors received - connect,,Errors received - read,,Errors received - write,,Errors received - status,,Errors received - timeout,,Data received,,Data per second,,
Date & Time,Threads,Connections,Duration,Trial,Latency min(ms),Latency min(s),Latency max(ms),Latency max(s),Latency avg(ms),Latency avg(s),Latency Stdev(ms),Latency Stdev(s),Latency percentile(5)(ms),Latency percentile(5)(s),Latency percentile(50)(ms),Latency percentile(50)(s),Latency percentile(95)(ms),Latency percentile(95)(s),Min req/s,Max req/s,Avg req/s,Stdev req/s,Percentile(5) req/s,Percentile(50) req/s,Percentile(95) req/s,Test duration(ms),Test duration(s),Successful responses,Successful responses(%),Errors received,Errors received(%),Errors received - connect,Errors received - connect(%),Errors received - read,Errors received - read(%),Errors received - write,Errors received - write(%),Errors received - status,Errors received - status(%),Errors received - timeout,Errors received - timeout(%),Data received(B),Data received(KB),Data per second(B),Data per second(KB),
2017-05-15:18:09:23,1,1,1,1,43.481,0.043481,299.971,0.299971,79.048526315789,0.079048526315789,73.992168549838,0.073992168549838,43.481,0.043481,45.571,0.045571,299.971,0.299971,3,30,19.125,9.125122308378,3,20,30,1038.645,1.038645,0,0,16,100,0,0,0,0,0,0,16,100,0,0,6640,6.64,6392.9446538519,6.3929446538519,
2017-05-15:18:09:23,1,1,1,2,44.104,0.044104,308.654,0.308654,80.554526315789,0.080554526315789,77.363074921918,0.077363074921918,44.104,0.044104,45.578,0.045578,308.654,0.308654,6,30,18.25,7.2850139719446,6,20,30,1038.229,1.038229,0,0,16,100,0,0,0,0,0,0,16,100,0,0,6640,6.64,6395.5061937203,6.3955061937203,
2017-05-15:18:09:23,1,1,2,1,43.664,0.043664,308.199,0.308199,63.930261904762,0.063930261904762,57.429757830681,0.057429757830681,44.094,0.044094,45.222,0.045222,200.789,0.200789,6,30,20.333333333333,5.9111061968627,6,20,30,2040.795,2.040795,0,0,38,100,0,0,0,0,0,0,38,100,0,0,15770,15.77,7727.3807511288,7.7273807511288,
2017-05-15:18:09:23,1,1,2,2,43.743,0.043743,312.014,0.312014,81.964166666667,0.081964166666667,79.315930631474,0.079315930631474,43.978,0.043978,45.916,0.045916,298.824,0.298824,6,30,17.153846153846,6.8294235218667,6,20,30,2043.13,2.04313,0,0,26,100,0,0,0,0,0,0,26,100,0,0,10790,10.79,5281.1128024159,5.2811128024159,
2017-05-15:18:09:23,1,2,1,1,48.542,0.048542,59.669,0.059669,52.501578947368,0.052501578947368,2.3867463393066,0.0023867463393066,48.948,0.048948,52.097,0.052097,59.593,0.059593,20,40,37.9,6.2972657205771,20,40,40,1073.087,1.073087,0,0,38,100,0,0,0,0,0,0,38,100,0,0,15770,15.77,14695.91934298,14.69591934298,
2017-05-15:18:09:23,1,2,1,2,49.507,0.049507,58.753,0.058753,52.876108108108,0.052876108108108,2.1644561388203,0.0021644561388203,50.035,0.050035,52.484,0.052484,58.436,0.058436,20,40,36.9,6.7073757080462,20,40,40,1077.386,1.077386,0,0,37,100,0,0,0,0,0,0,37,100,0,0,15355,15.355,14252.08792392,14.25208792392,
2017-05-15:18:09:23,1,2,2,1,49.881,0.049881,62.319,0.062319,53.059135135135,0.053059135135135,2.1881470319755,0.0021881470319755,50.595,0.050595,52.584,0.052584,56.921,0.056921,20,40,36.95,6.6290826546443,20,40,40,2079.416,2.079416,0,0,74,100,0,0,0,0,0,0,74,100,0,0,30710,30.71,14768.56963686,14.76856963686,
2017-05-15:18:09:23,1,2,2,2,48.027,0.048027,64.139,0.064139,53.557878378378,0.053557878378378,3.3902187829054,0.0033902187829054,49.768,0.049768,52.731,0.052731,61.672,0.061672,20,40,37,6.5694668533179,20,40,40,2077.514,2.077514,0,0,74,100,0,0,0,0,0,0,74,100,0,0,30710,30.71,14782.090517802,14.782090517802,
2017-05-15:18:10:38,1,1,1,1,43.547,0.043547,311.919,0.311919,80.925894736842,0.080925894736842,78.698897683156,0.078698897683156,43.547,0.043547,45.744,0.045744,311.919,0.311919,6,30,18.125,7.2592305770948,6,20,30,1039.464,1.039464,0,0,16,100,0,0,0,0,0,0,16,100,0,0,6640,6.64,6387.9076139241,6.3879076139241,
2017-05-15:18:10:38,1,1,1,2,43.76,0.04376,49.916,0.049916,45.930333333333,0.045930333333333,1.9297139770788,0.0019297139770788,44.163,0.044163,44.905,0.044905,49.601,0.049601,20,30,21,3.1622776601684,20,20,30,1036.493,1.036493,0,0,21,100,0,0,0,0,0,0,21,100,0,0,8715,8.715,8408.1609813091,8.4081609813091,
2017-05-15:18:10:38,1,1,2,1,43.452,0.043452,308.396,0.308396,63.628095238095,0.063628095238095,57.562233951636,0.057562233951636,43.494,0.043494,44.674,0.044674,200.816,0.200816,6,30,20.277777777778,5.8188896813897,6,20,30,2044.04,2.04404,0,0,38,100,0,0,0,0,0,0,38,100,0,0,15770,15.77,7715.1132071779,7.7151132071779,
2017-05-15:18:10:38,1,1,2,2,43.317,0.043317,305.417,0.305417,63.382714285714,0.063382714285714,56.745091448742,0.056745091448742,43.504,0.043504,44.66,0.04466,198.071,0.198071,6,30,20.333333333333,5.9111061968627,6,20,30,2039.601,2.039601,0,0,38,100,0,0,0,0,0,0,38,100,0,0,15770,15.77,7731.904426405,7.731904426405,
2017-05-15:18:10:38,1,2,1,1,43.81,0.04381,61.143,0.061143,51.83175,0.05183175,4.3986048961299,0.0043986048961299,44.314,0.044314,51.909,0.051909,60.533,0.060533,20,40,32,10.327955589886,20,40,40,1072.853,1.072853,0,0,32,100,0,0,0,0,0,0,32,100,0,0,13280,13.28,12378.210248748,12.378210248748,
2017-05-15:18:10:38,1,2,1,2,43.41,0.04341,303.858,0.303858,69.4272,0.0694272,55.311670372535,0.055311670372535,43.418,0.043418,53.473,0.053473,236.649,0.236649,19,40,31.8,9.2472218050132,19,39,40,1075.356,1.075356,0,0,32,100,0,0,0,0,0,0,32,100,0,0,13280,13.28,12349.398710753,12.349398710753,
2017-05-15:18:10:38,1,2,2,1,43.588,0.043588,310.666,0.310666,63.161686746988,0.063161686746988,55.416050357435,0.055416050357435,43.923,0.043923,45.245,0.045245,198.44,0.19844,20,50,37.5,10.195458225163,20,40,50,2076.2,2.0762,0,0,75,100,0,0,0,0,0,0,75,100,0,0,31125,31.125,14991.330314999,14.991330314999,
2017-05-15:18:10:38,1,2,2,2,43.174,0.043174,320.757,0.320757,70.561818181818,0.070561818181818,60.52818294059,0.06052818294059,44.217,0.044217,51.639,0.051639,247.256,0.247256,10,40,31.526315789474,10.68939464585,10,40,40,2078.31,2.07831,0,0,60,100,0,0,0,0,0,0,60,100,0,0,24900,24.9,11980.888317912,11.980888317912,
